publisher,name,ratings,price,author,edition_year
人民文学出版社,傲慢与偏见,8.8,13.00元,[英] 奥斯丁,1993-7
武汉大学出版社,天才在左 疯子在右,8.3,29.80元,高铭,2010-2
重庆出版社,三体Ⅱ,9.2,32.00,刘慈欣,2008-5
中国友谊出版公司,明朝那些事儿（壹）,8.8,24.80,当年明月,2006-9
重庆出版社,三体Ⅲ,9.2,38.00元,刘慈欣,2010-11
人民文学出版社,哈利·波特与阿兹卡班的囚徒,8.9,26.50元,[英] J. K. 罗琳,2000-9
人民文学出版社,哈利·波特与密室,8.8,22.00元,[英] J. K. 罗琳,2000-9
上海译文出版社,情人,8.1,20.00元,[法] 玛格丽特·杜拉斯,2005-7
春风文艺出版社,幻城,7.1,28.00元,郭敬明,2003-1
生活·读书·新知三联书店,目送,8.7,39.00元,龙应台,2009-10
朝华出版社,致我们终将逝去的青春,7.9,25.00元,辛夷坞,2007-8
书海出版社,独唱团（第一辑）,7.8,16.00元,韩寒 主编,2010-7-6
作家出版社,莲花,8.0,25.00元,安妮宝贝,2006-3
南海出版公司,1Q84 BOOK 1,8.3,36.00元,[日] 村上春树,2010-5
生活·读书·新知三联书店,万历十五年,8.9,18.00元,[美] 黄仁宇,1997-5
长江文艺出版社,狼图腾,8.3,32.00元,姜戎,2004-4
江苏文艺出版社,微微一笑很倾城,8.1,25.00,顾漫,2009-8
人民文学出版社,哈利·波特与火焰杯,8.9,39.80元,[英] J. K. 罗琳,2001-5
生活·读书·新知三联书店,向左走·向右走,8.4,16.00元,幾米,2002-8
生活·读书·新知三联书店,我们仨,8.6,18.80元,杨绛,2003-7
北岳文艺出版社,边城,8.6,12.00元,沈从文,2002-4
长江文艺出版社,悲伤逆流成河,6.3,24.00元,郭敬明,2007-5
中国青年出版社,长安乱,7.4,20.00元,韩寒,2004-8
上海译文出版社,月亮和六便士,8.9,15.00元,[英] 毛姆,2006-8
北京十月文艺出版社,穆斯林的葬礼,8.3,32.00,霍达,1988-12-1
沈阳出版社,三生三世 十里桃花,8.3,26.80,唐七公子,2009-1
上海三联书店,民主的细节,8.6,25.00,刘瑜,2009-6
南海出版公司,霍乱时期的爱情,8.9,39.50元,[哥伦比亚] 加西亚·马尔克斯,2012-9-1
吉林文史出版社,少有人走的路,8.3,26.00元,[美] M·斯科特·派克,2007-1
人民文学出版社,亲爱的安德烈,8.7,26.00,龙应台,2008-12
作家出版社,活着,9.3,20.00元,余华,2012-8-1
华夏出版社,遇见未知的自己,8.1,29.00,张德芬,2008-1
群众出版社,福尔摩斯探案全集（上中下）,9.2,53.00元/68.00元,[英] 阿·柯南道尔,1981-8
上海译文出版社,一九八四·动物农场,9.2,23.00元,[英] 乔治·奥威尔,2003-4
上海人民出版社,灿烂千阳,8.7,28.00元,[美] 卡勒德·胡赛尼,2007-9
上海译文出版社,老人与海,8.3,8.20元,海明威,1999-10
长江文艺出版社,小时代1.0折纸时代,6.7,29.80元,郭敬明,2008-10
上海译文出版社,百年孤独,8.9,12.70元,[哥伦比亚] 加西亚·马尔克斯,1989-10
作家出版社,素年锦时,7.8,27.00元,安妮宝贝,2007-9
上海译文出版社,洛丽塔,7.7,27.00元,[美] 弗拉基米尔·纳博科夫,2005-12
南海出版公司,1Q84 BOOK 2,8.4,36.00元,[日] 村上春树,2010-6
知识出版社,第一次的亲密接触,7.4,12.80,蔡智恒,1999-11-1
天津人民出版社,情书,8.6,18.00元,[日] 岩井俊二,2004-7
南海出版公司,牧羊少年奇幻之旅,8.6,25.00元,[巴西]保罗·柯艾略,2009-3-1
二十一世纪出版社,一座城池,7.4,19.90元,韩寒,2006-1
译林出版社,麦田里的守望者,7.9,7.80元,[美国] J. D. 塞林格,1997-2
南海出版公司,彼岸花,7.8,20.00元,安妮宝贝,2001-9
三联书店,神雕侠侣,8.8,76.8,金庸,1994-5
万卷出版公司,他的国,7.5,25.00元,韩寒,2009-1
外国文学出版社,茶花女,8.1,9.00,小仲马,1997-03-01
三联书店,天龙八部,9.1,96.0,金庸,1994-5
Arthur A. Levine Books,Harry Potter and the Deathly Hallows,8.9,34.99美元,J.K.Rowling,2007-7-21
人民文学出版社,哈利·波特与混血王子,8.8,58.00元,[英] J. K. 罗琳,2005-10
上海译文出版社,一个人的好天气,7.6,15.00元,[日] 青山七惠,2007-9
春风文艺出版社,1995-2005夏至未至,7.4,24.00元,郭敬明,2005-2
作家出版社,苏菲的世界,8.5,26.80,（挪威）乔斯坦·贾德,1999-04
南海出版公司,放学后,7.6,20.00元,[日]东野圭吾,2010-1
上海人民出版社,追风筝的人,8.8,29.00元,[美] 卡勒德·胡赛尼,2006-5
天津教育出版社,人生若只如初见,7.3,23.80元,安意如,2006-8
上海译文出版社,且听风吟,7.8,11.80元,[日] 村上春树,2001-8
湖南文艺出版社,从你的全世界路过,7.2,36.00元,张嘉佳,2013-11-1
南海出版公司,恶意,8.4,18.00,[日] 东野圭吾,2009-6
南海出版公司,白夜行,9.2,39.50元,[日] 东野圭吾,2013-1-1
新世界出版社,喜宝,8.1,22.00元,亦舒,2007-2
人民文学出版社,小王子,9.0,22.00元,[法] 圣埃克苏佩里,2003-8
人民文学出版社,围城,8.9,19.00,钱锺书,1991-2
南海出版公司,活着,9.1,12.00元,余华,1998-5
南海出版公司,白夜行,9.1,29.80元,[日] 东野圭吾,2008-9
上海译文出版社,挪威的森林,8.0,18.80元,[日] 村上春树,2001-2
中信出版社,谁动了我的奶酪？,7.2,16.80元,[美] 斯宾塞·约翰逊,2001-9
南京大学出版社,最初的爱情 最后的仪式,8.0,22.00元,[英] 伊恩·麦克尤恩,2010-2
人民文学出版社,安徒生童话故事集,9.1,25.00,（丹麦）安徒生,1997-08
译林出版社,钢铁是怎样炼成的,7.6,20.00元,[苏] 尼·奥斯特洛夫斯基,1996-10
新世界出版社,泡沫之夏,7.0,20.00元,明晓溪,2006-3
春风文艺出版社,年华是无效信,7.6,20.00元,落落,2005-2
花城出版社,红玫瑰与白玫瑰,8.4,12.80元,张爱玲,1996-06
人民文学出版社,哈利·波特与凤凰社,8.6,59.00元,[英] J. K. 罗琳,2003-9
南海出版公司,许三观卖血记,8.7,16.80元,余华,1998-9
中国友谊出版公司,盗墓笔记,8.4,26.80元,南派三叔,2007-1
上海译文出版社,海边的卡夫卡,8.1,25.00元,[日] 村上春树,2003-4
南海出版公司,嫌疑人X的献身,9.0,19.80元,（日）东野圭吾,2009年11月
吉林美术出版社,机器猫哆啦A梦23,9.4,8.00,藤子・F・不二雄,1999-12-01
天津人民出版社,关于莉莉周的一切,7.7,28.00元,[日] 岩井俊二,2006-12
南海出版公司,解忧杂货店,8.6,39.50元,(日)东野圭吾,2014-5
上海译文出版社,不能承受的生命之轻,8.5,23.00元,[捷克] 米兰·昆德拉,2003-7
重庆出版社,三体,8.8,23.00,刘慈欣,2008-1
人民文学出版社,红楼梦,9.5,59.70元,[清] 曹雪芹 著,1996-12
春风文艺出版社,梦里花落知多少,7.2,20.00元,郭敬明,2003-11
四川科学技术出版社,球状闪电,8.7,22.00元,刘慈欣,2005-6
文化艺术出版社,佛祖在一号线,8.2,25.00元,李海鹏,2010-6
陕西师范大学出版社,杜拉拉2华年似水,7.3,28.00,李可,2009-1
商务印书馆,菊与刀,8.2,16.00,（美）鲁思・本尼迪克特,1990-6
长江文艺出版社,橙,8.3,28.80元,安东尼,2010-10
哈尔滨出版社,金锁记,8.5,13.5元,张爱玲,2005年6月
新世界出版社,会有天使替我爱你,6.8,20.00元,明晓溪,2005-5
北京十月文艺出版社,小团圆,7.6,28.00,张爱玲,2009-4
人民文学出版社,呐喊,8.8,0.36元,鲁迅,1973年3月
人民文学出版社,白鹿原,8.6,28.00元,陈忠实,1997年
格林,月亮忘記了,8.5,NT$ 299,幾米,2000-2-1
东方出版中心,文化苦旅,7.8,22.00元,余秋雨,2001-4
人民文学出版社,三国演义（全二册）,9.2,39.50元,[明] 罗贯中,1998-05
上海译文出版社,基督山伯爵,8.9,43.90元,大仲马,1991-12-1
皇冠出版社,撒哈拉的故事,9.0,160 TWD,三毛,1976
广西师范大学出版社,常识,8.1,38.00,梁文道,2009-1
南海出版公司,二三事,7.7,20.00元,安妮宝贝,2004-1
北京十月文艺出版社,半生缘,8.6,28.00元,张爱玲,2006-12
民族出版社,步步惊心,8.1,25.00元,桐华,2006-6
上海译文出版社,动物农场,9.2,10.00元,[英] 乔治·奥威尔,2007-3
北京十月文艺出版社,1984,9.3,28.00元,[英] 乔治·奥威尔,2010-4-1
江苏凤凰文艺出版社,无声告白,8.2,35.00元,[美] 伍绮诗,2015-7
南海出版公司,嫌疑人X的献身,8.9,28.00,[日] 东野圭吾,2008-9
上海人民出版社,达·芬奇密码,8.2,28.00元,[美] 丹·布朗,2004-2
广西师范大学出版社,看见,8.8,39.80元,柴静,2013-1-1
国际文化出版公司,1988：我想和这个世界谈谈,7.9,25.00元,韩寒,2010-9
朝华出版社,何以笙箫默,8.0,15.00元,顾漫,2007-4
上海锦绣文章出版社,阿狸·梦之城堡,9.0,36.80元,hans,2009-1
长江文艺出版社,不朽,7.6,22.00,落落,2007-12
人民文学出版社,天使与魔鬼,8.2,29.80元,[美] 丹.布朗,2005-2
上海译文出版社,世界尽头与冷酷仙境,8.5,23.00元,[日] 村上春树,2002-12
人民文学出版社,悲惨世界（上中下）,8.9,66.00元,[法] 雨果,1992-6
上海译文出版社,香水,8.5,20.00元,[德] 帕·聚斯金德,2005-5
中国友谊出版公司,盗墓笔记4,8.5,32.80元,南派三叔,2008-11
天津人民出版社,皮囊,7.8,39.80元,蔡崇达,2014-12-1
上海译文出版社,在路上,7.8,28.00元,[美] 杰克·凯鲁亚克,2006-10
生活·读书·新知三联书店,射雕英雄传（全四册）,8.9,47.00元,金庸,1999-04
哈尔滨出版社,哭泣的骆驼,8.9,15.80元,三毛,2003-6
华文出版社,此间的少年,8.4,25.00元,江南,2004-1
南海出版公司,窗边的小豆豆,8.7,20.00元,[日] 黑柳彻子 著,2003-1
上海文艺出版社,兄弟（上）,8.3,16.00元,余华,2005-8
生活·读书·新知三联书店,笑傲江湖（全四册）,8.9,76.80元,金庸,1994-5
人民文学出版社,呼啸山庄,8.4,27.30元,艾米莉·勃朗特,1999-1
中国海关出版社,明朝那些事儿（1-9）,9.1,358.20元,当年明月,2009-4
上海文艺出版社,兄弟（下）,7.5,27.00元,余华,2006-3
中信出版社,失恋33天,8.0,25.00元,鲍鲸鲸,2010-1
吉林出版集团有限责任公司,人间失格,8.3,16.00元,太宰治,2009年9月
长江文艺出版社,大地之灯,8.2,22.00元,七堇年,2007-1
人民文学出版社,格林童话全集,8.9,21.45元,格林兄弟,1994-11
作家出版社,水仙已乘鲤鱼去,7.8,19.00元,张悦然,2005-1
上海社会科学院出版社,麦琪的礼物,8.6,25.00元,[美] 欧·亨利,2003-7
世界图书出版公司,简爱,8.5,18.00元,[英] 夏洛蒂·勃朗特,2003-11
人民文学出版社,平凡的世界（全三部）,9.0,64.00元,路遥,2005-1
南海出版公司,百年孤独,9.2,39.50元,[哥伦比亚] 加西亚·马尔克斯,2011-6
人民文学出版社,哈利·波特与魔法石,9.0,19.50元,[英] J. K. 罗琳,2000-9
广西师范大学出版社,伊豆的舞女,8.1,23.80元,[日] 川端康成,2002-2
长江文艺出版社,尘埃星球,7.3,22.80元,落落,2009-6
中国城市出版社,秘密,7.3,32.00,[澳] 朗达·拜恩,2008-11
三联书店,倚天屠龙记(共四册),8.5,0,金庸,1999-04
湖南文艺出版社,乖，摸摸头,7.6,36.00元,大冰,2014-9-1
江苏文艺出版社,那些回不去的年少时光,8.5,23.80元,桐华,2010-01
远方出版社,草样年华,7.2,19.50元,孙睿,2004-1
作家出版社,蔷薇岛屿,8.0,18.00元,安妮宝贝,2002-8
朝华出版社,原来你还在这里,7.7,25.00元,辛夷坞,2007-10
中信出版社,货币战争,7.3,38.00元,宋鸿兵 编著,2007-6
安徽文艺出版社,鬼吹灯之精绝古城,8.1,25.0,天下霸唱,2006
光明日报出版社,悟空传,8.4,14.80元,今何在,2001-4
花城出版社,黄金时代,8.8,19.00元,王小波,1999-3
南海出版公司,幻夜,7.6,28.00元,〔日〕东野圭吾,2009年9月
人民文学出版社,无人生还,8.9,19.00,[英] 阿加莎・克里斯蒂,2008-3
广西师范大学出版社,孤独六讲,8.1,36.00元,蒋勋,2009-10-1
上海译文出版社,左手倒影，右手年华。,6.7,16.00元,郭敬明,2003-5
南海出版公司,1Q84 BOOK 3,7.6,39.50元,[日] 村上春树,2011-1
中央编译出版社,乌合之众,8.3,16.00元,(法)古斯塔夫.勒庞,1998-01
译林出版社,飘（上下）,9.3,40.00元,[美国] 玛格丽特·米切尔,2000-9
上海三联书店,送你一颗子弹,8.6,25.00元,刘瑜,2010-1
花城出版社,倾城之恋,8.5,11.00,张爱玲,1997-3-1
陕西师范大学出版社,杜拉拉升职记,7.8,26.00元,李可,2007-9
中国海关出版社,明朝那些事儿（柒）：大结局,9.0,29.80元,当年明月,2009年
中国书店,拆掉思维里的墙,8.0,29.80元,古典,2010-9
東立,七龍珠 34,9.2,6.90,鸟山明,1993-6-25
当代世界出版社,ZOO,8.6,20.00元,[日] 乙一,2007-10
北方妇女儿童出版社,我的路,8.6,20.00元,寂地,2004-10
东方出版社,匆匆那年（上下）,8.3,29.00,九夜茴,2008-1
译林出版社,看不见的城市,8.8,16.00元,[意大利]伊塔洛·卡尔维诺,2006-8
商务印书馆,如何阅读一本书,8.5,38.00元,[美] 莫提默·J. 艾德勒,2004-1
新世界出版社,佳期如梦,8.0,20.00元,匪我思存,2007-2
中国友谊出版公司,明朝那些事儿（叁）,8.9,24.80,当年明月,2007-4
大田,一個人住第5年,8.4,NT$220,高木直子,2004-12-1
中国社会科学出版社,告别薇安,7.5,19.00,安妮宝贝,2000-1
上海人民出版社,零下一度,7.2,12.00,韩寒,2000-08
中国友谊出版公司,盗墓笔记2,8.2,26.80元,南派三叔,2007-4
广州出版社 花城出版社,鹿鼎记（全五册）,8.8,108.00元,金庸,2008-3
人民文学出版社,了不起的盖茨比,8.3,12.00元,菲茨杰拉德,2004-06
上海书店出版社,阿Q正传,8.6,14.50,鲁迅,2003-7-1
中国友谊出版公司,盗墓笔记3,8.4,26.80元,南派三叔,2007-11
中国友谊出版公司,明朝那些事儿（伍）,8.8,28.80,当年明月,2008-3
生活·读书·新知三联书店,历史深处的忧虑,9.0,19.00元,林达,1997-5
作家出版社,三重门,7.4,16.00,韩寒,2000-5
中国海关出版社,明朝那些事儿（陆）,8.9,28.80,当年明月,2008-11
上海译文出版社,傲慢与偏见,9.0,11.00元,[英] 奥斯丁,1996-12
上海译文出版社,刀锋,9.0,18.00,[英]毛姆,2007-3
上海译文出版社,生活在别处,8.3,25.00元,[捷克] 米兰·昆德拉,2004-5
电子工业出版社,把时间当作朋友,8.5,32.00元,李笑来,2009-6
人民文学出版社,往事并不如烟,8.6,35.00元,章诒和,2004-1
北京十月文艺出版社,梦里花落知多少,8.8,28.00元,三毛,2007-6
人民文学出版社,时间旅行者的妻子,8.1,29.90元,[美] 奥德丽·尼芬格,2007-4
湖南文艺出版社,偷影子的人,7.9,29.80元,(法)马克·李维,2012-6-20
中国友谊出版公司,明朝那些事儿（肆）,8.8,24.80,当年明月,2007-9
当代世界出版社,左耳,7.1,22.00元,饶雪漫,2006-2
作家出版社,像少年啦飞驰,7.3,16.00元,韩寒,2002-1
译林出版社,荆棘鸟,8.6,28.00元,[澳] 考琳·麦卡洛,1998-7
人民文学出版社,尘埃落定,8.4,22.0,阿来,1998-3-1
长江文艺出版社,小时代2.0虚铜时代,6.5,26.80元,郭敬明,2010-1
北京十月文艺出版社,撒哈拉的故事,9.3,24.00元,三毛,2011-1-7
重庆出版社,冰与火之歌（卷一）,9.3,68.00元,[美] 乔治·R. R. 马丁,2005-5
安徽文艺出版社,鬼吹灯之云南虫谷,8.0,26.80元,天下霸唱,2006-11
中信出版社,史蒂夫·乔布斯传,8.7,68.00元,[美] 沃尔特·艾萨克森,2011-10-24
北方文艺出版社,一只特立独行的猪,8.8,18.80元,王小波,2006-4
南海出版公司,长恨歌,8.2,22.00元,王安忆,2003-8
生活·读书·新知三联书店,孩子你慢慢来,8.8,28.00元,龙应台,2009-12-1
长江文艺出版社,被窝是青春的坟墓,7.8,22.00元,七堇年,2007-11
重庆出版集团,我们台湾这些年,7.4,29.80元,廖信忠,2009-11
上海锦绣文章出版社,爱你就像爱生命,8.8,18.00元,王小波,2008-5
上海译文出版社,寻路中国,9.0,33.00元,[美] 彼得·海斯勒,2011-1
译林出版社,当我们谈论爱情时我们在谈论什么,7.8,22.00元,[美] 雷蒙德·卡佛,2010-1
浙江人民美术出版社,海贼王,9.5,7.5,尾田荣一郎,2007-11
陕西师范大学出版社,黄金时代,8.8,23.00元,王小波,2009-07-01
北京十月文艺出版社,倾城之恋,8.7,29.80元,张爱玲,2006-12
哈尔滨出版社,飞鸟集,8.8,16.80元,[印] 罗宾德拉纳德·泰戈尔,2004-6
北京十月文艺出版社,七夜雪,8.5,25.00元,沧月,2006-10
长江文艺出版社,东霓,8.2,26.80元,笛安,2010-7-1
新世界出版社,你好，旧时光（上 下）,8.8,39.80元,八月长安,2009-12
南海出版公司,巴别塔之犬,7.7,22.00元,[美] 卡罗琳·帕克丝特,2007-7
花山文艺出版社,那些年，我们一起追的女孩,8.2,20.00元,九把刀,2007-1
中国画报出版社,曾有一个人，爱我如生命,7.6,23.80,舒仪,2009-3
人民文学出版社,骆驼祥子,8.2,12.00,老舍,2000-3-1
长江文艺出版社,西决,8.0,22.80元,笛安,2009-3
作家出版社,八月未央,7.5,16.00元,安妮宝贝,2001-1
长江文艺出版社,这些都是你给我的爱,8.4,24.80元,文：安东尼,2010-3
江苏凤凰文艺出版社,岛上书店,7.7,CNY 35.00,[美] 加布瑞埃拉·泽文,2015-5
天津人民出版社,清醒纪,7.9,22.00元,安妮宝贝,2004-10
译林出版社,这些人，那些事,8.8,28.00元,吴念真,2011-9
人民文学出版社,东方快车谋杀案,9.0,18.00元,[英] 阿加莎·克里斯蒂,2006-5
中国友谊出版公司,明朝那些事儿（贰）,8.9,24.80,当年明月,2007-1
沈阳出版社,蔡康永的说话之道,7.2,25.00元,蔡康永 著,2010-10
长江文艺出版社,陪安东尼度过漫长岁月,8.4,18.00,安东尼,2008-3
译林出版社,芒果街上的小屋,7.8,24.50元,[美国] 桑德拉·希斯内罗丝,2006-6
南海出版公司,当我谈跑步时我谈些什么,8.1,25.00,[日] 村上春树,2009-1
长春出版社,灌篮高手31,9.5,7.50元,[日] 井上雄彦,2005-1
北京燕山出版社,羊脂球,8.1,13.50元,（法）莫泊桑,2007-6
上海译文出版社,一个陌生女人的来信,8.7,20.00元,[奥] 斯台芬·茨威格,2007-7
广西民族出版社,鲁滨逊漂流记,7.9,9.20元,[英] 笛福,2002-1
哈尔滨出版社,撒哈拉的故事,9.2,15.80元,三毛,2003-8
人民文学出版社,巴黎圣母院,8.3,22.50元,[法]雨果,1982-6
江苏文艺出版社,山楂树之恋,7.9,25.00元,艾米,2007-9
中国青年出版社,沉默的大多数,9.0,27.00元,王小波,1997-10
辽宁教育出版社,地下铁,8.3,32.00元,幾米,2002-2
上海译文出版社,挪威的森林,8.4,23.00元,[日] 村上春树,2007-7
译林出版社,麦田里的守望者,8.0,28.00元,[美国] J. D. 塞林格,2007-3
人民文学出版社,肖申克的救赎,9.1,29.90元,[美] 斯蒂芬·金,2006-7
现代出版社,华胥引（全二册）,8.6,39.80元,唐七公子,2011-1
